Time,sleep_predictions
2021-01-13 14:58:00.500,1.0
2021-01-13 14:58:30.500,1.0
2021-01-13 14:59:00.500,1.0
2021-01-13 14:59:30.500,1.0
2021-01-13 15:00:00.500,1.0
2021-01-13 15:00:30.500,1.0
2021-01-13 15:01:00.500,1.0
2021-01-13 15:01:30.500,1.0
2021-01-13 15:02:00.500,1.0
2021-01-13 15:02:30.500,1.0
2021-01-13 15:03:00.500,1.0
2021-01-13 15:03:30.500,1.0
2021-01-13 15:04:00.500,1.0
2021-01-13 15:04:30.500,1.0
2021-01-13 15:05:00.500,1.0
2021-01-13 15:05:30.500,1.0
2021-01-13 15:06:00.500,1.0
2021-01-13 15:06:30.500,1.0
2021-01-13 15:07:00.500,1.0
2021-01-13 15:07:30.500,1.0
2021-01-13 15:08:00.500,1.0
2021-01-13 15:08:30.500,1.0
2021-01-13 15:09:00.500,1.0
2021-01-13 15:09:30.500,1.0
2021-01-13 15:10:00.500,1.0
2021-01-13 15:10:30.500,1.0
2021-01-13 15:11:00.500,1.0
2021-01-13 15:11:30.500,1.0
2021-01-13 15:12:00.500,1.0
2021-01-13 15:12:30.500,1.0
2021-01-13 15:13:00.500,1.0
2021-01-13 15:13:30.500,1.0
2021-01-13 15:14:00.500,1.0
2021-01-13 15:14:30.500,1.0
2021-01-13 15:15:00.500,1.0
2021-01-13 15:15:30.500,1.0
2021-01-13 15:16:00.500,1.0
2021-01-13 15:16:30.500,1.0
2021-01-13 15:17:00.500,1.0
2021-01-13 15:17:30.500,1.0
2021-01-13 15:18:00.500,1.0
2021-01-13 15:18:30.500,1.0
2021-01-13 15:19:00.500,1.0
2021-01-13 15:19:30.500,1.0
2021-01-13 15:20:00.500,1.0
2021-01-13 15:20:30.500,1.0
2021-01-13 15:21:00.500,1.0
2021-01-13 15:21:30.500,1.0
2021-01-13 15:22:00.500,1.0
2021-01-13 15:22:30.500,1.0
2021-01-13 15:23:00.500,1.0
2021-01-13 15:23:30.500,1.0
2021-01-13 15:24:00.500,1.0
2021-01-13 15:24:30.500,1.0
2021-01-13 15:25:00.500,1.0
2021-01-13 15:25:30.500,1.0
2021-01-13 15:26:00.500,1.0
2021-01-13 15:26:30.500,1.0
2021-01-13 15:27:00.500,1.0
2021-01-13 15:27:30.500,1.0
2021-01-13 15:28:00.500,1.0
2021-01-13 15:28:30.500,1.0
2021-01-13 15:29:00.500,1.0
2021-01-13 15:29:30.500,1.0
2021-01-13 15:30:00.500,1.0
2021-01-13 15:30:30.500,1.0
2021-01-13 15:31:00.500,1.0
2021-01-13 15:31:30.500,1.0
2021-01-13 15:32:00.500,1.0
2021-01-13 15:32:30.500,1.0
2021-01-13 15:33:00.500,1.0
2021-01-13 15:33:30.500,1.0
2021-01-13 15:34:00.500,1.0
2021-01-13 15:34:30.500,1.0
2021-01-13 15:35:00.500,1.0
2021-01-13 15:35:30.500,1.0
2021-01-13 15:36:00.500,1.0
2021-01-13 15:36:30.500,1.0
2021-01-13 15:37:00.500,1.0
2021-01-13 15:37:30.500,1.0
2021-01-13 15:38:00.500,1.0
2021-01-13 15:38:30.500,1.0
2021-01-13 15:39:00.500,1.0
2021-01-13 15:39:30.500,1.0
2021-01-13 15:40:00.500,1.0
2021-01-13 15:40:30.500,1.0
2021-01-13 15:41:00.500,1.0
2021-01-13 15:41:30.500,1.0
2021-01-13 15:42:00.500,1.0
2021-01-13 15:42:30.500,1.0
2021-01-13 15:43:00.500,1.0
2021-01-13 15:43:30.500,1.0
2021-01-13 15:44:00.500,1.0
2021-01-13 15:44:30.500,1.0
2021-01-13 15:45:00.500,1.0
2021-01-13 15:45:30.500,1.0
2021-01-13 15:46:00.500,1.0
2021-01-13 15:46:30.500,1.0
2021-01-13 15:47:00.500,1.0
2021-01-13 15:47:30.500,1.0
2021-01-13 15:48:00.500,1.0
2021-01-13 15:48:30.500,1.0
2021-01-13 15:49:00.500,1.0
2021-01-13 15:49:30.500,1.0
2021-01-13 15:50:00.500,1.0
2021-01-13 15:50:30.500,1.0
2021-01-13 15:51:00.500,1.0
2021-01-13 15:51:30.500,1.0
2021-01-13 15:52:00.500,1.0
2021-01-13 15:52:30.500,1.0
2021-01-13 15:53:00.500,1.0
2021-01-13 15:53:30.500,1.0
2021-01-13 15:54:00.500,1.0
